Class,_RMSenergy_Mean,_Lowenergy_Mean,_Fluctuation_Mean,_Tempo_Mean,_MFCC_Mean_1,_MFCC_Mean_2,_MFCC_Mean_3,_MFCC_Mean_4,_MFCC_Mean_5,_MFCC_Mean_6,_MFCC_Mean_7,_MFCC_Mean_8,_MFCC_Mean_9,_MFCC_Mean_10,_MFCC_Mean_11,_MFCC_Mean_12,_MFCC_Mean_13,_Roughness_Mean,_Roughness_Slope,_Zero-crossingrate_Mean,_AttackTime_Mean,_AttackTime_Slope,_Rolloff_Mean,_Eventdensity_Mean,_Pulseclarity_Mean,_Brightness_Mean,_Spectralcentroid_Mean,_Spectralspread_Mean,_Spectralskewness_Mean,_Spectralkurtosis_Mean,_Spectralflatness_Mean,_EntropyofSpectrum_Mean,_Chromagram_Mean_1,_Chromagram_Mean_2,_Chromagram_Mean_3,_Chromagram_Mean_4,_Chromagram_Mean_5,_Chromagram_Mean_6,_Chromagram_Mean_7,_Chromagram_Mean_8,_Chromagram_Mean_9,_Chromagram_Mean_10,_Chromagram_Mean_11,_Chromagram_Mean_12,_HarmonicChangeDetectionFunction_Mean,_HarmonicChangeDetectionFunction_Std,_HarmonicChangeDetectionFunction_Slope,_HarmonicChangeDetectionFunction_PeriodFreq,_HarmonicChangeDetectionFunction_PeriodAmp,_HarmonicChangeDetectionFunction_PeriodEntropy
angry,0.6241785382528082,0.46543392470720385,0.6619221345251731,176.15149282040127,0.441461656319166,0.4414657607627049,0.8948032038768479,0.6918586822882272,0.38263140351626196,0.6356400108964911,0.38414557679688444,0.38356756160743577,0.5604905678915085,0.021679938835550527,0.06877054187174181,0.3594281176897568,0.24679221991639405,0.5785618331488185,0.2729939811196972,0.14692407466617707,0.8664121922303885,0.4435559248783661,0.5168820511719809,0.1438129534466358,0.36390431886870434,0.5277306474274666,0.2122516056444243,0.593924504586418,0.34984032752029876,0.4270765625516808,0.34957334694265074,0.9630695461272345,0.38557470882552186,0.1953267930416785,0.5897611495627486,0.1585549518372172,0.4333913197357125,0.00827435204098837,0.12492430334641884,0.4703519426103407,0.5554338098588364,0.3927195890667333,0.41110972732644646,0.26221241128971967,0.13036950240814316,0.3200389479013228,0.38484030726005314,0.7642805565547289,0.5859045723921154,0.05923996115931651
happy,0.5810209923486988,0.40372942989592087,0.33076949992351035,130.58381444204338,0.7577498806239877,0.7328200297790497,0.29019561919434034,0.42269690603719634,0.582815857850891,0.7438862817805898,0.3802064405386775,0.45358525583404574,0.22341625649849295,0.2009483439798323,0.7031314555985495,0.8390600071427057,0.4819974696049165,0.750883224473006,0.5904090062619085,0.3387200613487189,0.5903489013771035,0.8845091416164923,0.4910434902225121,0.8911609139535015,0.1549362760224361,0.705475626093806,0.5217617670595428,0.425248162383533,0.5229401941338756,0.0031077713497768,0.445082028040622,0.5892781428779366,0.6750496401648969,0.3071472813520613,0.24896120499477545,0.30488597030117104,0.5720181065995037,0.4777824370133303,0.2733921824567992,0.5380950786345413,0.4253430665587185,0.5369172290424068,0.28317356769073504,0.2581133056168347,0.4019729617169606,0.13412126296697036,0.574030069266144,0.5652638180449723,0.5012783641606152,0.44135321665621313
relax,0.14615731448739644,0.39483866930866024,0.4143213708683076,59.886136538919054,0.4596785720834977,0.6010127142036346,0.9715464753026326,0.5436444532079597,0.564387597680691,0.4813885210584582,0.020307196175239628,0.4933715311376958,0.5150575524852566,1.1158105281213215,0.4519097588047194,0.5753868355834031,0.4913220575736892,0.207830490595117,0.7857057036287551,0.6879832581716936,0.6977579867607617,0.27265313630131527,0.8506985777340248,0.14953723430192978,0.6467142734500676,1.0476139064524945,0.25236591871732794,0.358425567599307,0.5249128412719103,0.37413108647095017,0.11233414223346683,0.5171407437015069,0.182004262490463,0.5127501651194767,0.22578262725784443,0.7223963182638542,0.23873246976907422,0.3442572865001708,0.5231756169349364,0.16467333347665902,0.45178807980455965,0.5981388577413741,0.08563553125586912,0.33718250510269826,0.5649706985621059,0.6954557179443275,0.1907623222804795,0.16988584672893092,0.6304853914042244,0.5742461683082966
sad,0.5626232125864692,0.586612052374244,0.3299938196053773,111.61268485805019,0.5732681183246703,0.321412145493408,0.9664436277861892,0.6184582302279469,0.20217412569933785,0.6641384021584574,0.2563295824431696,0.696771150935613,0.789648894751851,0.2948294204120724,0.7408440323110804,0.6031952317341246,0.7055150399986225,0.9741982456634868,0.43865297099928235,0.3115659589106276,0.2776213925936192,0.29604742875864043,0.48072457264647395,0.5852879937041608,0.5691726998325047,0.7067958122590059,0.5032504729694768,0.8633835192893292,0.433835791690511,1.1800422916474047,0.6564168369412515,0.28571061089592936,0.18033720314356688,0.5145908942216606,0.37120140249124434,0.5522873780223332,0.48526297439006855,0.3953915447782596,0.21443956492537597,0.10387208195310708,0.3150880587827359,0.5166160758794306,0.4830496700362275,0.1164147882732963,0.5432952314627955,0.5963293449322092,0.2790356409497168,0.538431276486382,0.5145521796115,0.21425742554234423
angry,0.5894468400870708,0.6401961315920586,0.7707628107938193,152.69010260174514,0.15558265801072724,0.2655437400212193,0.6287588168021649,0.6284464877280522,0.6287619215765119,1.4631828726636802,0.6427226276732918,0.7838914100451497,0.7385004408733006,0.6628478128264494,0.4211826888399136,0.6897423051233168,0.30679369636560705,0.4407953483149978,0.37865911304272415,0.5204685348465806,1.0786646416683772,0.03318370185206293,0.6715650475936283,0.09682103220258703,0.3820170335526416,0.7722376492418416,0.5160700047738657,0.23056380551767347,0.32117407268500797,0.669899437233669,0.31740834207071583,0.5541146473954938,0.39703985132794456,0.27950932249361027,0.8658630087211572,0.535991144410529,0.0049331153076867225,0.4485878574982235,0.24884180113175813,0.6107111083222846,0.2449088886010738,0.34097390866548805,0.5465140226173274,0.4423086786865629,0.19992589823605594,0.4163746910397629,0.381263672209761,0.336667691856572,0.9413635600702742,0.6012454277402389
happy,0.1847790114162387,0.729465486763694,1.0305390492531583,151.62326302755736,0.12015750851149665,0.3789414817834372,0.8167277872966556,0.3230826335953048,0.610954857036557,0.6936585133573342,0.2682673821054793,0.48511866098455,0.31031683501726814,0.24390308966642754,0.4368579621517099,0.18805420450878763,0.9081028259829088,0.14246465550984183,0.3899888783257541,0.5326851443215228,0.8603183222665289,0.14103446220514015,0.7907909380387399,0.5025582652548968,0.25462283723801227,0.6155258685658177,0.5497649238933675,0.34994578071030136,0.5174505212475047,0.40367160078456,0.528379336312812,0.6655326686302616,0.6960359718330933,0.15799297571737994,0.8635832520383908,0.009749925851008309,0.36263004136116367,0.5310367851455178,0.4241521325188508,0.29488251048057174,0.36344043507991425,0.27255996082819994,0.30775882480407785,0.43981556445571474,0.5892538714912618,0.3267726011848364,0.7248999688583126,0.5768248802191523,0.70321552970974,0.657407210480903
relax,0.2927512472694819,0.35995473995075755,0.6868234012808154,130.51851327167324,0.49477460150896296,0.5293318458271955,0.8194162239471062,0.35210715279104254,0.6367743452925094,0.4494518368915265,0.4455796991931949,0.7746942129967975,0.7063540872470074,0.7033774090001597,0.8263697017885823,0.5052509604081897,0.670488242823741,0.422433310851636,0.5810415881221105,0.4674642364080789,0.5242489912481796,0.6487892563592284,0.29544482919163184,1.0230968189213652,0.2484956546250745,0.19645284680306696,0.7895277183750169,0.6979156734907339,0.6560299542630388,0.65708637731607,0.49693830678827133,0.2756864071285421,0.40290793854977053,0.2742107157379831,0.6216411390102,0.37706581948812845,0.2304439808173358,0.34439591249290546,0.44868639666351734,0.3075091570109674,0.23888500872837626,0.4057993880285012,0.4897852063813327,0.2304425697802112,0.3822404235954193,0.5580124843394091,0.13797891462566897,0.1481340564058612,0.320388944686891,0.4466382120720382
sad,0.5777268913995012,0.868839054237388,0.7144149058005048,92.00307350182865,0.4952459480243278,0.2493676588405478,0.49537171600190255,0.4278353402699655,0.5806796400845223,0.29319226411191923,0.6298366285602931,0.8831847282506444,0.4728099628857856,0.6004279305247353,0.6725359979277781,0.3996948820285409,0.5560231204526042,0.5031481001954488,0.5244190246372079,0.3067475540361334,0.5061275435647357,0.6244995728113624,0.8627859019487605,0.7398177065213017,1.0382956143778892,0.3081631092779876,0.7180801591801695,0.5458355014345879,1.047450733304418,0.29792542866121213,0.29006953945480596,0.35015183863899446,0.02404781831688043,0.30559575890424284,0.25927500563016903,0.43759584739713114,0.45946554379192867,0.7952616070298778,0.5486335047935541,0.30468748738062734,0.2234307843839399,0.45069529729209973,0.14830497846840648,0.5913580712039305,0.7948600301803217,0.3827060869738238,0.07171636772728052,0.8384680935413533,0.47136503868684554,0.8094540779933654
angry,0.10139308530140823,0.3501562442615568,0.5013109249295458,102.3490296882371,0.3874836321301891,0.6557124830868747,0.2330948926543514,0.46440512874467665,0.5300739079279747,0.6286097085146872,0.6779037195222224,0.21883947704053275,0.11647145731609443,0.8194192054746272,0.5830785029948979,0.3128783658608616,0.8877879938806308,0.5289186585732146,0.7948242960159566,0.5168796203525272,1.0151869812204968,0.9388352106108011,0.43775896288023164,0.7428927377385889,0.6613439873962869,0.8421578893830872,0.2587691348549739,0.6715128649996098,0.764606121712397,0.06031512839422143,0.20418537183355623,0.009808044440025143,0.3359033595190668,0.5633184445105716,0.73180558168133,0.4220693292213436,0.7119545469738611,0.12718260649090196,0.05515625578050738,0.4163107356097059,0.4835518406287784,0.3558121930720605,0.014713868487809086,0.2949305621677453,0.1738826248737867,0.6674181372075096,0.5916495615242121,0.2650300534181612,0.37153327066582664,0.2351966195277621
happy,0.484330225681707,0.7387855801253096,0.25356848841611407,125.2023257758922,0.3674355954068898,0.30178179193441396,0.4732424100113605,0.24118941939515648,0.3615876736632045,0.20053052685278788,0.9911812832290974,0.5088158879929322,0.3250686230018537,0.5534949776835555,0.4719179875772926,0.44475760011669435,0.6535416750108562,0.6893769275118262,0.36737471309736813,0.35604543983882997,0.431237075712089,0.07548029118389621,0.12120223445036199,0.8417185668611311,0.9112419283753209,0.4377409901109054,0.6441392407639416,0.577812538635884,1.2697202021138094,0.7798937278586442,0.46802060212980834,0.26111488984989356,0.0763876836033519,0.4567552556892157,0.25985627756316476,0.11756887464943949,0.26554992584907333,0.1884358664576226,0.6856267264854359,0.616964255845748,0.4040360956964464,0.6293921874234619,0.45322022981782445,0.1757525839383022,0.8807810193174144,0.6347275109211646,0.2406884614183859,0.45241533047909793,0.28109543665381065,0.15430006725891593
